Month,Price
Dec-21,2.227
Nov-21,2.363
Oct-21,2.493
Sep-21,2.193
Aug-21,2.072
Jul-21,2.13
Jun-21,2.126
May-21,2.021
Apr-21,1.866
Mar-21,1.854
Feb-21,1.769
Jan-21,1.577
Dec-20,1.454
Nov-20,1.26
Oct-20,1.17
Sep-20,1.16
Aug-20,1.28
Jul-20,1.262
Jun-20,1.186
May-20,0.989
Apr-20,0.962
Mar-20,1.188
Feb-20,1.619
Jan-20,1.851
Dec-19,1.979
Nov-19,1.914
Oct-19,1.903
Sep-19,1.927
Aug-19,1.839
Jul-19,1.935
Jun-19,1.865
May-19,2.037
Apr-19,2.069
Mar-19,1.991
Feb-19,1.958
Jan-19,1.833
Dec-18,1.775
Nov-18,2.03
Oct-18,2.337
Sep-18,2.258
Aug-18,2.161
Jul-18,2.15
Jun-18,2.153
May-18,2.209
Apr-18,2.061
Mar-18,1.94
Feb-18,1.93
Jan-18,2.049
Dec-17,1.94
Nov-17,1.92
Oct-17,1.8
Sep-17,1.773
Aug-17,1.634
Jul-17,1.537
Jun-17,1.443
May-17,1.527
Apr-17,1.604
Mar-17,1.551
Feb-17,1.66
Jan-17,1.666
Dec-16,1.69
Nov-16,1.499
Oct-16,1.601
Sep-16,1.462
Aug-16,1.452
Jul-16,1.433
Jun-16,1.523
May-16,1.438
Apr-16,1.273
Mar-16,1.219
Feb-16,1.074
Jan-16,1.033
Dec-15,1.236
Nov-15,1.467
Oct-15,1.552
Sep-15,1.579
Aug-15,1.558
Jul-15,1.713
Jun-15,1.911
May-15,1.973
Apr-15,1.856
Mar-15,1.768
Feb-15,1.844
Jan-15,1.627
Dec-14,1.958
Nov-14,2.379
Oct-14,2.529
Sep-14,2.758
Aug-14,2.865
Jul-14,2.909
Jun-14,2.974
May-14,2.926
Apr-14,2.945
Mar-14,2.926
Feb-14,2.981
Jan-14,2.93
Dec-13,3.03
Nov-13,2.942
Oct-13,2.989
Sep-13,3.047
Aug-13,3.078
Jul-13,3.02
Jun-13,2.896
May-13,2.886
Apr-13,2.882
Mar-13,3.009
Feb-13,3.194
Jan-13,3.027
Dec-12,2.98
Nov-12,3.021
Oct-12,3.103
Sep-12,3.137
Aug-12,3.069
Jul-12,2.819
Jun-12,2.624
May-12,2.929
Apr-12,3.167
Mar-12,3.245
Feb-12,3.163
Jan-12,3.022
Dec-11,2.911
Nov-11,3.061
Oct-11,2.948
Sep-11,2.948
Aug-11,2.97
Jul-11,3.104
Jun-11,3.01
May-11,2.99
Apr-11,3.235
Mar-11,3.069
Feb-11,2.79
Jan-11,2.606
Dec-10,2.502
Nov-10,2.365
Oct-10,2.302
Sep-10,2.151
Aug-10,2.104
Jul-10,2.06
Jun-10,2.091
May-10,2.087
Apr-10,2.274
Mar-10,2.119
Feb-10,2.006
Jan-10,2.075
Dec-09,2.036
Nov-09,2.087
Oct-09,2.016
Sep-09,1.825
Aug-09,1.941
Jul-09,1.734
Jun-09,1.868
May-09,1.566
Apr-09,1.429
Mar-09,1.327
Feb-09,1.288
Jan-09,1.472
Dec-08,1.476
Nov-08,1.895
Oct-08,2.302
Sep-08,2.972
Aug-08,3.252
Jul-08,3.848
Jun-08,3.87
May-08,3.647
Apr-08,3.152
Mar-08,2.885
Feb-08,2.598
Jan-08,2.519
Dec-07,2.556
Nov-07,2.597
Oct-07,2.334
Sep-07,2.223
Aug-07,2.039
Jul-07,2.118
Jun-07,2.018
May-07,1.904
Apr-07,1.886
Mar-07,1.75
Feb-07,1.693
Jan-07,1.586
Dec-06,1.793
Nov-06,1.781
Oct-06,1.788
Sep-06,1.863
Aug-06,2.141
Jul-06,2.127
Jun-06,2.054
May-06,2.036
Apr-06,2.011
Mar-06,1.798
Feb-06,1.738
Jan-06,1.828
Dec-05,1.793
Nov-05,1.817
Oct-05,2.003
Sep-05,2.055
Aug-05,1.894
Jul-05,1.722
Jun-05,1.649
May-05,1.431
Apr-05,1.526
Mar-05,1.486
Feb-05,1.284
Jan-05,1.271
Dec-04,1.27
Nov-04,1.398
Oct-04,1.493
Sep-04,1.275
Aug-04,1.205
Jul-04,1.118
Jun-04,1.014
May-04,1.014
Apr-04,0.911
Mar-04,0.89
Feb-04,0.856
Jan-04,0.907
Dec-03,0.884
Nov-03,0.848
Oct-03,0.839
Sep-03,0.767
Aug-03,0.84
Jul-03,0.8
Jun-03,0.771
May-03,0.727
Apr-03,0.702
Mar-03,0.806
Feb-03,0.898
Jan-03,0.833
Dec-02,0.788
Nov-02,0.714
Oct-02,0.787
Sep-02,0.8
Aug-02,0.732
Jul-02,0.699
Jun-02,0.666
May-02,0.68
Apr-02,0.677
Mar-02,0.641
Feb-02,0.55
Jan-02,0.543
Dec-01,0.55
Nov-01,0.571
Oct-01,0.649
Sep-01,0.739
Aug-01,0.751
Jul-01,0.717
Jun-01,0.77
May-01,0.78
Apr-01,0.743
Mar-01,0.7
Feb-01,0.738
