Month,Price
Dec-21,71.46
Nov-21,78.23
Oct-21,80.45
Sep-21,71.28
Aug-21,67.43
Jul-21,71.84
Jun-21,70.98
May-21,65.07
Apr-21,61.7
Mar-21,62.32
Feb-21,58.95
Jan-21,52.1
Dec-20,47.23
Nov-20,41.39
Oct-20,39.85
Sep-20,39.92
Aug-20,42.66
Jul-20,40.94
Jun-20,38.53
May-20,29.31
Apr-20,24.08
Mar-20,31.66
Feb-20,50.73
Jan-20,57.5
Dec-19,59.74
Nov-19,57.13
Oct-19,54.05
Sep-19,56.75
Aug-19,54.74
Jul-19,57.63
Jun-19,54.88
May-19,60.9
Apr-19,63.93
Mar-19,58.47
Feb-19,55.39
Jan-19,51.68
Dec-18,48.97
Nov-18,56.78
Oct-18,70.74
Sep-18,69.81
Aug-18,67.15
Jul-18,69.22
Jun-18,66.82
May-18,69.84
Apr-18,66.27
Mar-18,62.8
Feb-18,61.97
Jan-18,63.46
Dec-17,57.99
Nov-17,56.71
Oct-17,51.96
Sep-17,50.31
Aug-17,48.3
Jul-17,46.84
Jun-17,45.43
May-17,48.86
Apr-17,51.52
Mar-17,50.22
Feb-17,53.93
Jan-17,53.39
Dec-16,53.14
Nov-16,46.56
Oct-16,50.38
Sep-16,45.81
Aug-16,45.49
Jul-16,45.52
Jun-16,49.46
May-16,47.4
Apr-16,42.29
Mar-16,39.5
Feb-16,32.57
Jan-16,33.04
Dec-15,38.6
Nov-15,44.12
Oct-15,46.89
Sep-15,45.96
Aug-15,43.48
Jul-15,51.34
Jun-15,60.22
May-15,60.16
Apr-15,56.13
Mar-15,49.62
Feb-15,51.82
Jan-15,47.9
Dec-14,59.57
Nov-14,75.83
Oct-14,83.73
Sep-14,92.18
Aug-14,95.02
Jul-14,101.46
Jun-14,104.48
May-14,101.11
Apr-14,101.3
Mar-14,99.88
Feb-14,100.11
Jan-14,94.78
Dec-13,98.09
Nov-13,94.35
Oct-13,100.6
Sep-13,105.57
Aug-13,106.02
Jul-13,104.22
Jun-13,95.9
May-13,95.02
Apr-13,92.37
Mar-13,93.34
Feb-13,95.82
Jan-13,95.28
Dec-12,88.78
Nov-12,87.25
Oct-12,89.99
Sep-12,94.9
Aug-12,94.45
Jul-12,88.27
Jun-12,82.71
May-12,95.05
Apr-12,103.83
Mar-12,106.7
Feb-12,102.67
Jan-12,100.54
Dec-11,98.74
Nov-11,97.18
Oct-11,86.56
Sep-11,85.81
Aug-11,86.66
Jul-11,97.76
Jun-11,96.83
May-11,101.88
Apr-11,110.58
Mar-11,103.9
Feb-11,92.47
Jan-11,90.96
Dec-10,89.85
Nov-10,84.89
Oct-10,82.71
Sep-10,76.82
Aug-10,77.26
Jul-10,76.82
Jun-10,76.43
May-10,76.89
Apr-10,85.92
Mar-10,81.66
Feb-10,76.84
Jan-10,78.85
Dec-09,76
Nov-09,78.93
Oct-09,76.29
Sep-09,69.91
Aug-09,72.57
Jul-09,65.57
Jun-09,70.47
May-09,60.14
Apr-09,52.01
Mar-09,49.5
Feb-09,43.13
Jan-09,46.39
Dec-08,45.16
Nov-08,58.22
Oct-08,76.83
Sep-08,103.03
Aug-08,116.92
Jul-08,134.09
Jun-08,134.52
May-08,125.31
Apr-08,111.8
Mar-08,104.47
Feb-08,95.19
Jan-08,92.59
Dec-07,91.59
Nov-07,93.67
Oct-07,84.66
Sep-07,78.47
Aug-07,72.06
Jul-07,74.2
Jun-07,68.18
May-07,64.92
Apr-07,65.84
Mar-07,62.49
Feb-07,60.2
Jan-07,55.34
Dec-06,63.16
Nov-06,61.18
Oct-06,60.83
Sep-06,64.84
Aug-06,74.28
Jul-06,75.71
Jun-06,71.69
May-06,72.08
Apr-06,71.61
Mar-06,64.46
Feb-06,63.15
Jan-06,66.19
Dec-05,60.24
Nov-05,59.14
Oct-05,62.08
Sep-05,65.91
Aug-05,65.73
Jul-05,60
Jun-05,57.32
May-05,51.27
Apr-05,54.6
Mar-05,55.31
Feb-05,48.59
Jan-05,47.05
Dec-04,43.56
Nov-04,48.58
Oct-04,52.63
Sep-04,45.68
Aug-04,44.39
Jul-04,40.63
Jun-04,38.18
May-04,40.09
Apr-04,36.12
Mar-04,36.03
Feb-04,33.54
Jan-04,33.58
Dec-03,31.99
Nov-03,30.67
Oct-03,30.25
Sep-03,28.29
Aug-03,31.42
Jul-03,30.26
Jun-03,29.49
May-03,27.54
Apr-03,26.98
Mar-03,31.69
Feb-03,34.43
Jan-03,31.87
Dec-02,29.07
Nov-02,25.67
Oct-02,28.74
Sep-02,29.68
Aug-02,27.65
Jul-02,26.79
Jun-02,25.65
May-02,26.5
Apr-02,26.29
Mar-02,24.68
Feb-02,21.02
Jan-02,20.14
Dec-01,19.71
Nov-01,19.93
Oct-01,22.51
Sep-01,25.96
Aug-01,26.84
Jul-01,26.17
Jun-01,27.73
May-01,29.09
Apr-01,27.97
Mar-01,27.43
Feb-01,29.36
Jan-01,28.12
Dec-00,27.75
Nov-00,33.29
Oct-00,32.36
Sep-00,33.08
Aug-00,30.59
Jul-00,29.01
Jun-00,30.18
May-00,28.46
Apr-00,24.87
Mar-00,28.57
Feb-00,28.19
Jan-00,26.12
Dec-99,25.45
