Month,Price
Dec-21,2.25
Nov-21,2.388
Oct-21,2.516
Sep-21,2.201
Aug-21,2.071
Jul-21,2.129
Jun-21,2.12
May-21,2.021
Apr-21,1.862
Mar-21,1.856
Feb-21,1.785
Jan-21,1.578
Dec-20,1.448
Nov-20,1.241
Oct-20,1.151
Sep-20,1.127
Aug-20,1.239
Jul-20,1.238
Jun-20,1.144
May-20,0.91
Apr-20,0.867
Mar-20,1.175
Feb-20,1.623
Jan-20,1.853
Dec-19,1.987
Nov-19,1.923
Oct-19,1.928
Sep-19,1.933
Aug-19,1.829
Jul-19,1.92
Jun-19,1.851
May-19,2.031
Apr-19,2.061
Mar-19,1.991
Feb-19,1.964
Jan-19,1.851
Dec-18,1.792
Nov-18,2.045
Oct-18,2.334
Sep-18,2.251
Aug-18,2.153
Jul-18,2.139
Jun-18,2.145
May-18,2.215
Apr-18,2.074
Mar-18,1.936
Feb-18,1.939
Jan-18,2.078
Dec-17,1.949
Nov-17,1.918
Oct-17,1.802
Sep-17,1.791
Aug-17,1.631
Jul-17,1.526
Jun-17,1.426
May-17,1.514
Apr-17,1.59
Mar-17,1.536
Feb-17,1.641
Jan-17,1.644
Dec-16,1.663
Nov-16,1.469
Oct-16,1.566
Sep-16,1.433
Aug-16,1.415
Jul-16,1.385
Jun-16,1.501
May-16,1.421
Apr-16,1.249
Mar-16,1.193
Feb-16,1.043
Jan-16,1.001
Dec-15,1.179
Nov-15,1.424
Oct-15,1.499
Sep-15,1.539
Aug-15,1.528
Jul-15,1.682
Jun-15,1.889
May-15,1.962
Apr-15,1.84
Mar-15,1.781
Feb-15,1.96
Jan-15,1.671
Dec-14,2.009
Nov-14,2.413
Oct-14,2.533
Sep-14,2.745
Aug-14,2.852
Jul-14,2.887
Jun-14,2.96
May-14,2.93
Apr-14,2.955
Mar-14,2.951
Feb-14,3.063
Jan-14,3.031
Dec-13,3.042
Nov-13,2.941
Oct-13,2.993
Sep-13,3.052
Aug-13,3.072
Jul-13,3.015
Jun-13,2.89
May-13,2.887
Apr-13,2.893
Mar-13,2.926
Feb-13,3.151
Jan-13,3.056
Dec-12,2.995
Nov-12,3.012
Oct-12,3.14
Sep-12,3.146
Aug-12,3.054
Jul-12,2.814
Jun-12,2.614
May-12,2.919
Apr-12,3.156
Mar-12,3.227
Feb-12,3.194
Jan-12,3.046
Dec-11,2.901
Nov-11,3.063
Oct-11,2.959
Sep-11,2.934
Aug-11,2.951
Jul-11,3.077
Jun-11,2.977
May-11,2.964
Apr-11,3.206
Mar-11,3.045
Feb-11,2.777
Jan-11,2.609
Dec-10,2.487
Nov-10,2.335
Oct-10,2.261
Sep-10,2.113
Aug-10,2.054
Jul-10,2.007
Jun-10,2.047
May-10,2.048
Apr-10,2.23
Mar-10,2.094
Feb-10,1.987
Jan-10,2.061
Dec-09,1.998
Nov-09,2.02
Oct-09,1.955
Sep-09,1.759
Aug-09,1.885
Jul-09,1.663
Jun-09,1.788
May-09,1.503
Apr-09,1.376
Mar-09,1.292
Feb-09,1.275
Jan-09,1.465
Dec-08,1.421
Nov-08,1.851
Oct-08,2.241
Sep-08,2.932
Aug-08,3.191
Jul-08,3.782
Jun-08,3.812
May-08,3.616
Apr-08,3.187
Mar-08,3.01
Feb-08,2.65
Jan-08,2.561
Dec-07,2.579
Nov-07,2.6
Oct-07,2.299
Sep-07,2.199
Aug-07,1.998
Jul-07,2.079
Jun-07,1.991
May-07,1.88
Apr-07,1.862
Mar-07,1.742
Feb-07,1.696
Jan-07,1.547
Dec-06,1.726
Nov-06,1.699
Oct-06,1.69
Sep-06,1.754
Aug-06,2.035
Jul-06,1.995
Jun-06,1.969
May-06,1.986
Apr-06,1.979
Mar-06,1.779
Feb-06,1.687
Jan-06,1.787
Dec-05,1.746
Nov-05,1.728
Oct-05,1.933
Sep-05,2
Aug-05,1.833
Jul-05,1.666
Jun-05,1.62
May-05,1.411
Apr-05,1.515
Mar-05,1.543
Feb-05,1.34
Jan-05,1.324
Dec-04,1.299
Nov-04,1.399
Oct-04,1.49
Sep-04,1.263
Aug-04,1.182
Jul-04,1.1
Jun-04,0.999
May-04,1.015
Apr-04,0.922
Mar-04,0.912
Feb-04,0.913
Jan-04,0.986
Dec-03,0.901
Nov-03,0.843
Oct-03,0.825
Sep-03,0.745
Aug-03,0.824
Jul-03,0.788
Jun-03,0.762
May-03,0.727
Apr-03,0.747
Mar-03,0.916
Feb-03,1.074
Jan-03,0.906
Dec-02,0.825
Nov-02,0.72
Oct-02,0.777
Sep-02,0.785
Aug-02,0.714
Jul-02,0.684
Jun-02,0.65
May-02,0.668
Apr-02,0.669
Mar-02,0.639
Feb-02,0.545
Jan-02,0.538
Dec-01,0.54
Nov-01,0.558
Oct-01,0.634
Sep-01,0.72
Aug-01,0.738
Jul-01,0.702
Jun-01,0.759
May-01,0.774
Apr-01,0.757
Mar-01,0.731
Feb-01,0.778
Jan-01,0.839
Dec-00,0.934
Nov-00,1.02
Oct-00,0.976
Sep-00,0.99
Aug-00,0.885
Jul-00,0.784
Jun-00,0.779
May-00,0.743
Apr-00,0.697
Mar-00,0.746
Feb-00,0.768
Jan-00,0.786
Dec-99,0.674
Nov-99,0.648
Oct-99,0.589
Sep-99,0.606
Aug-99,0.556
Jul-99,0.508
Jun-99,0.438
May-99,0.422
Apr-99,0.431
Mar-99,0.388
Feb-99,0.312
Jan-99,0.337
Dec-98,0.325
Nov-98,0.365
Oct-98,0.394
Sep-98,0.405
Aug-98,0.351
Jul-98,0.372
Jun-98,0.385
May-98,0.418
Apr-98,0.433
Mar-98,0.422
Feb-98,0.448
Jan-98,0.47
