Month,Price
Oct-94,17.79
Sep-94,17.71
Aug-94,18.22
Jul-94,18.91
Jun-94,18.2
May-94,17.27
Apr-94,16.16
Mar-94,14.82
Feb-94,15.04
Jan-94,15.31
Dec-93,15.18
Nov-93,17.24
Oct-93,18.48
Sep-93,18.04
Aug-93,18.57
Jul-93,18.39
Jun-93,19.61
May-93,20.34
Apr-93,20.64
Mar-93,20.51
Feb-93,20.14
Jan-93,19.32
Dec-92,19.57
Nov-92,20.41
Oct-92,21.58
Sep-92,21.67
Aug-92,21.12
Jul-92,21.57
Jun-92,22.24
May-92,21.1
Apr-92,20.31
Mar-92,19.19
Feb-92,19.26
Jan-92,18.99
Dec-91,19.5
Nov-91,22.05
Oct-91,22.83
Sep-91,21.66
Aug-91,21.53
Jul-91,21.22
Jun-91,20.34
May-91,21.19
Apr-91,20.3
Mar-91,19.17
Feb-91,18.81
Jan-91,22.77
Dec-90,25.59
Nov-90,30.35
Oct-90,33.58
Sep-90,31.56
Aug-90,26.31
Jul-90,19.82
Jun-90,18.11
May-90,19.45
Apr-90,19.59
Mar-90,20.74
Feb-90,21.65
Jan-90,21.27
Dec-89,20.42
Nov-89,19.48
Oct-89,19.69
Sep-89,19.19
Aug-89,18.14
Jul-89,18.77
Jun-89,18.46
May-89,18.28
Apr-89,19.04
Mar-89,18.49
Feb-89,16.94
Jan-89,17.02
Dec-88,15.58
Nov-88,13.78
Oct-88,13.51
Sep-88,14.21
Aug-88,15.75
Jul-88,15.79
Jun-88,16.81
May-88,17.68
Apr-88,17.73
Mar-88,16.06
Feb-88,16.62
Jan-88,16.91
Dec-87,16.93
Nov-87,18.67
Oct-87,19.68
Sep-87,19.22
Aug-87,19.89
Jul-87,20.71
Jun-87,19.49
May-87,18.8
Apr-87,17.99
Mar-87,17.86
Feb-87,17.55
Jan-87,18.35
Dec-86,16.28
Nov-86,15.41
Oct-86,15.18
Sep-86,15.02
Aug-86,14.96
Jul-86,11.35
Jun-86,13.01
May-86,14.44
Apr-86,12.57
Mar-86,13.12
Feb-86,15.83
Jan-86,21.94
Dec-85,25.61
Nov-85,28.95
Oct-85,28.04
Sep-85,27.11
Aug-85,26.95
Jul-85,26.06
Jun-85,25.92
May-85,26.67
Apr-85,27.71
Mar-85,27.2
Feb-85,26.22
Jan-85,25.43
Dec-84,26.76
Nov-84,27.81
Oct-84,28.78
Sep-84,29.68
Aug-84,29.68
Jul-84,29.09
Jun-84,30.17
May-84,30.65
Apr-84,30.48
Mar-84,30.47
Feb-84,29.68
Jan-84,29.24
Dec-83,28.73
Nov-83,29.5
Oct-83,30.19
Sep-83,31.13
Aug-83,31.84
Jul-83,31.48
Jun-83,30.77
May-83,29.93
Apr-83,30.35
Mar-83,29.3
