Month,Price
Dec-21,71.69
Nov-21,79.18
Oct-21,81.22
Sep-21,71.55
Aug-21,67.71
Jul-21,72.43
Jun-21,71.35
May-21,65.16
Apr-21,61.7
Mar-21,62.36
Feb-21,59.06
Jan-21,52.1
Dec-20,47.07
Nov-20,41.13
Oct-20,39.56
Sep-20,39.63
Aug-20,42.39
Jul-20,40.77
Jun-20,38.31
May-20,28.53
Apr-20,16.7
Mar-20,30.45
Feb-20,50.54
Jan-20,57.53
Dec-19,59.86
Nov-19,57.12
Oct-19,54.01
Sep-19,56.88
Aug-19,54.84
Jul-19,57.54
Jun-19,54.71
May-19,60.77
Apr-19,63.88
Mar-19,58.17
Feb-19,55.01
Jan-19,51.38
Dec-18,48.68
Nov-18,56.6
Oct-18,70.76
Sep-18,70.07
Aug-18,67.85
Jul-18,70.74
Jun-18,67.32
May-18,69.89
Apr-18,66.33
Mar-18,62.87
Feb-18,62.16
Jan-18,63.55
Dec-17,57.95
Nov-17,56.54
Oct-17,51.69
Sep-17,49.88
Aug-17,48.06
Jul-17,46.68
Jun-17,45.2
May-17,48.54
Apr-17,51.12
Mar-17,49.67
Feb-17,53.46
Jan-17,52.61
Dec-16,52.17
Nov-16,45.87
Oct-16,49.87
Sep-16,45.23
Aug-16,44.8
Jul-16,44.8
Jun-16,48.84
May-16,46.8
Apr-16,41.13
Mar-16,37.96
Feb-16,30.62
Jan-16,31.78
Dec-15,37.33
Nov-15,42.92
Oct-15,46.25
Sep-15,45.47
Aug-15,42.89
Jul-15,50.93
Jun-15,59.83
May-15,59.37
Apr-15,54.63
Mar-15,47.85
Feb-15,50.73
Jan-15,47.33
Dec-14,59.29
Nov-14,75.81
Oct-14,84.34
Sep-14,93.03
Aug-14,96.08
Jul-14,102.39
Jun-14,105.15
May-14,101.8
Apr-14,102.04
Mar-14,100.51
Feb-14,100.68
Jan-14,94.86
Dec-13,97.89
Nov-13,93.93
Oct-13,100.55
Sep-13,106.24
Aug-13,106.54
Jul-13,104.7
Jun-13,95.8
May-13,94.8
Apr-13,92.07
Mar-13,92.96
Feb-13,95.32
Jan-13,94.83
Dec-12,88.25
Nov-12,86.73
Oct-12,89.57
Sep-12,94.56
Aug-12,94.16
Jul-12,87.93
Jun-12,82.41
May-12,94.72
Apr-12,103.35
Mar-12,106.21
Feb-12,102.26
Jan-12,100.32
Dec-11,98.58
Nov-11,97.16
Oct-11,86.43
Sep-11,85.61
Aug-11,86.34
Jul-11,97.34
Jun-11,96.29
May-11,101.36
Apr-11,110.04
Mar-11,102.98
Feb-11,89.74
Jan-11,89.58
Dec-10,89.23
Nov-10,84.32
Oct-10,81.95
Sep-10,75.55
Aug-10,76.67
Jul-10,76.38
Jun-10,75.41
May-10,74.12
Apr-10,84.58
Mar-10,81.29
Feb-10,76.45
Jan-10,78.4
Dec-09,74.6
Nov-09,78.15
Oct-09,75.82
Sep-09,69.47
Aug-09,71.14
Jul-09,64.29
Jun-09,69.7
May-09,59.21
Apr-09,49.95
Mar-09,48.06
Feb-09,39.26
Jan-09,41.92
Dec-08,42.04
Nov-08,57.44
Oct-08,76.72
Sep-08,103.76
Aug-08,116.69
Jul-08,133.48
Jun-08,134.02
May-08,125.46
Apr-08,112.46
Mar-08,105.42
Feb-08,95.35
Jan-08,92.93
Dec-07,91.74
Nov-07,94.63
Oct-07,85.66
Sep-07,79.63
Aug-07,72.36
Jul-07,74.15
Jun-07,67.53
May-07,63.53
Apr-07,64.04
Mar-07,60.74
Feb-07,59.39
Jan-07,54.35
Dec-06,62.09
Nov-06,59.4
Oct-06,59.14
Sep-06,63.9
Aug-06,73.08
Jul-06,74.46
Jun-06,70.97
May-06,70.96
Apr-06,70.16
Mar-06,62.97
Feb-06,61.93
Jan-06,65.54
Dec-05,59.45
Nov-05,58.34
Oct-05,62.27
Sep-05,65.55
Aug-05,64.99
Jul-05,59.03
Jun-05,56.42
May-05,49.87
Apr-05,53.22
Mar-05,54.63
Feb-05,48.05
Jan-05,46.85
Dec-04,43.26
Nov-04,48.48
Oct-04,53.09
Sep-04,45.94
Aug-04,44.88
Jul-04,40.81
Jun-04,38.05
May-04,40.28
Apr-04,36.62
Mar-04,36.72
Feb-04,34.5
Jan-04,34.22
Dec-03,32.14
Nov-03,31.06
Oct-03,30.35
Sep-03,28.31
Aug-03,31.6
Jul-03,30.7
Jun-03,30.52
May-03,28.07
Apr-03,28.14
Mar-03,33.16
Feb-03,35.73
Jan-03,32.7
Dec-02,29.39
Nov-02,26.19
Oct-02,28.86
Sep-02,29.67
Aug-02,28.2
Jul-02,26.94
Jun-02,25.55
May-02,26.95
Apr-02,26.26
Mar-02,24.44
Feb-02,20.76
Jan-02,19.73
Dec-01,19.4
Nov-01,19.67
Oct-01,22.21
Sep-01,25.69
Aug-01,27.31
Jul-01,26.47
Jun-01,27.59
May-01,28.68
Apr-01,27.62
Mar-01,27.27
Feb-01,29.64
Jan-01,29.26
Dec-00,28.4
Nov-00,34.26
Oct-00,32.93
Sep-00,33.87
Aug-00,31.14
Jul-00,29.72
Jun-00,31.53
May-00,28.81
Apr-00,25.54
Mar-00,29.89
Feb-00,29.3
Jan-00,27.01
Dec-99,26.09
Nov-99,24.77
Oct-99,22.67
Sep-99,23.79
Aug-99,21.28
Jul-99,20.1
Jun-99,17.92
May-99,17.77
Apr-99,17.3
Mar-99,14.68
Feb-99,12.02
Jan-99,12.49
Dec-98,11.31
Nov-98,13.04
Oct-98,14.42
Sep-98,14.97
Aug-98,13.38
Jul-98,14.09
Jun-98,13.67
May-98,14.93
Apr-98,15.46
Mar-98,15.04
Feb-98,16.08
Jan-98,16.73
Dec-97,18.32
Nov-97,20.22
Oct-97,21.28
Sep-97,19.78
Aug-97,19.95
Jul-97,19.66
Jun-97,19.22
May-97,20.87
Apr-97,19.73
Mar-97,20.97
Feb-97,22.17
Jan-97,25.18
Dec-96,25.12
Nov-96,23.55
Oct-96,24.9
Sep-96,23.93
Aug-96,21.91
Jul-96,21.25
Jun-96,20.43
May-96,21.09
Apr-96,23.3
Mar-96,21.18
Feb-96,18.78
Jan-96,18.7
Dec-95,19.04
Nov-95,18
Oct-95,17.4
Sep-95,18.21
Aug-95,17.81
Jul-95,17.26
Jun-95,18.4
May-95,19.74
Apr-95,19.89
Mar-95,18.55
Feb-95,18.53
Jan-95,17.99
Dec-94,17.16
Nov-94,18.1
Oct-94,17.71
Sep-94,17.47
Aug-94,18.38
Jul-94,19.66
Jun-94,19.07
May-94,17.83
Apr-94,16.33
Mar-94,14.65
Feb-94,14.78
Jan-94,15.02
Dec-93,14.53
Nov-93,16.74
Oct-93,18.17
Sep-93,17.52
Aug-93,18.01
Jul-93,17.9
Jun-93,19.13
May-93,19.98
Apr-93,20.33
Mar-93,20.35
Feb-93,20.08
Jan-93,19.07
Dec-92,19.41
Nov-92,20.36
Oct-92,21.71
Sep-92,21.92
Aug-92,21.29
Jul-92,21.74
Jun-92,22.36
May-92,21
Apr-92,20.26
Mar-92,18.95
Feb-92,19.01
Jan-92,18.82
Dec-91,19.53
Nov-91,22.43
Oct-91,23.23
Sep-91,21.86
Aug-91,21.68
Jul-91,21.43
Jun-91,20.2
May-91,21.25
Apr-91,20.82
Mar-91,19.88
Feb-91,20.54
Jan-91,24.7
Dec-90,27.16
Nov-90,32.3
